producto_id,nombre_producto,categoria,fecha_caducidad,stock_actual,precio_unitario,sales_ultimos_7d,ventas_promedio_diaria,dias_hasta_caducidad,proveedor,en_promocion,precio_promocion,fecha_ultima_venta,temperatura_almacen,humedad_almacen,categoria_riesgo
P1001,Manzanas Fuji,frutas,2020-08-31,109,2.45,63,10.4,31,FruViva Ltda,False,,2020-07-31,4.22,93.03,bajo
P1002,Leche Entera 1L,lacteos,2020-09-01,92,1.25,42,6.71,33,DairyBest,True,1.05,2020-07-30,4.05,74.98,bajo
P1003,Bananas orgánicas,frutas,2020-08-21,138,1.73,88,14.08,23,Tropico Verde,False,,2020-07-29,11.51,76.25,bajo
P1004,Pechuga de Pollo,carnes,2020-08-10,55,5.46,31,4.66,10,CarnesPremium,True,5.3,2020-07-31,2.17,93.85,alto
P1005,Yogures Naturales,lacteos,2020-08-25,103,0.87,58,7.32,26,DairyBest,False,,2020-07-30,3.74,85.01,bajo
P1006,Agua Mineral 500ml,bebidas,2020-08-15,216,0.45,151,22.05,15,AguaPura,False,,2020-07-31,10.38,54.19,bajo
P1007,Pan Integral 500g,panaderia,2020-08-08,85,1.8,69,9.19,8,PanExpress,True,1.64,2020-07-31,22.64,75.03,medio
P1008,Naranjas Valencia,frutas,2020-08-28,136,1.65,81,12.13,30,CitrusFarm,False,,2020-07-29,8.43,84.27,bajo
P1009,Carne de Res Molida,carnes,2020-08-05,53,6.83,24,3.81,6,ResSelecto,False,,2020-07-30,2.03,81.69,alto
P1010,Pan Francés,panaderia,2020-08-07,92,2.28,53,7.25,8,PanExpress,False,,2020-07-30,23.4,69.47,medio
P1011,Coca Cola 2L,bebidas,2020-09-10,326,1.41,155,25.2,41,BebidasGlobal,False,,2020-07-31,3.9,69.9,bajo
P1012,Fresas Nacionales,frutas,2020-08-25,140,2.94,90,13.19,27,FresaSupreme,False,,2020-07-29,5.01,86.13,bajo
P1013,Queso Gouda 200g,lacteos,2020-08-20,69,2.82,38,6.13,20,DairyBest,False,,2020-07-31,3.82,88.45,bajo
P1014,Jugo de Naranja 1L,bebidas,2020-09-05,150,2.02,90,13.7,37,JugoExpress,False,,2020-07-30,4.0,86.58,bajo
P1015,Pan de Hamburguesa,panaderia,2020-08-06,104,1.85,81,11.73,6,PanExpress,True,1.56,2020-07-31,23.53,73.93,medio
P1016,Cerveza Artesanal 330ml,bebidas,2020-09-15,226,2.75,162,20.77,46,CervezaCraft,False,,2020-07-31,8.12,59.29,bajo
P1017,Pepino Italiano,verduras,2020-08-10,101,0.78,53,7.63,11,VerduraSelecta,False,,2020-07-30,6.63,82.18,bajo
P1018,Corte de Lomo de Cerdo,carnes,2020-08-04,41,9.68,16,2.04,6,ResSelecto,False,,2020-07-29,2.02,74.94,alto
P1019,Bebida Energizante 250ml,bebidas,2020-08-09,182,2.12,142,18.2,9,Energize,False,,2020-07-31,4.17,75.6,bajo
PRD001,Manzanas Golden,frutas,2020-08-15,112,1.16,81,12.62,14,Frutas del Valle,False,,2020-08-01,3.85,84.79,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-10,205,1.08,142,22.51,10,Lácteos La Huerta,True,0.82,2020-07-31,3.79,73.17,bajo
PRD003,Zanahorias Orgánicas,verduras,2020-08-20,72,0.43,64,8.75,19,Verduras Orgánicas S.A.,False,,2020-08-01,6.04,81.5,bajo
PRD004,Pollo Orgánico 500g,carnes,2020-08-05,46,5.69,41,6.22,6,Carnes Naturales,True,4.78,2020-07-30,2.02,78.11,alto
PRD005,Pan Integral  loaf,panaderia,2020-08-03,141,1.87,125,18.45,3,Panaderia Buen Pan,False,,2020-07-31,21.97,70.89,bajo
PRD006,Agua Mineral 1.5L,bebidas,2020-09-01,300,0.67,199,29.35,33,Bebidas del Valle,False,,2020-07-30,10.33,64.25,bajo
PRD007,Yogur Natural 150g,lacteos,2020-08-07,187,0.47,156,26.54,6,Yogurt Plus,False,,2020-08-01,3.73,90.62,bajo
PRD008,Jamon Cocido 200g,carnes,2020-08-09,63,3.98,41,5.67,9,Embuthidos Gourmet,False,,2020-07-31,2.06,80.49,alto
PRD009,Baguette Tradicional,panaderia,2020-08-02,98,1.46,87,14.18,1,Panadería La Esquina,True,1.13,2020-08-01,19.82,64.41,bajo
PRD010,Refresco Cola 330ml,bebidas,2020-08-25,271,1.0,207,27.7,27,Bebidas y Más,False,,2020-07-29,11.27,52.54,bajo
PRD011,Naranja Sanguina 1kg,frutas,2020-08-18,87,1.92,64,10.05,17,Frutas del Sol,False,,2020-08-01,4.2,84.2,bajo
PRD012,Cerveza Artesanal 330ml,bebidas,2020-09-15,108,2.59,61,8.12,49,Cervezas del Mundo,False,,2020-07-28,10.93,54.39,bajo
PRD013,Queso Gouda 200g,lacteos,2020-08-12,134,3.37,113,17.11,11,Quesos Finos,False,,2020-08-01,4.01,77.04,medio
PRD014,Manzana Verde,frutas,2020-08-19,109,1.3,71,9.96,19,Frutas Frescas,False,,2020-07-31,3.79,82.06,bajo
PRD015,Coca-Cola 500ml,bebidas,2020-08-23,185,1.2,158,23.68,25,Bebidas Global,False,,2020-07-29,12.22,57.75,bajo
PRD016,Yogur de Frutas 150g,lacteos,2020-08-14,153,0.63,144,20.94,15,Yogurt Plus,False,,2020-07-30,3.83,76.76,bajo
PRD017,Filete de Ternera 250g,carnes,2020-08-06,55,9.37,23,3.86,7,Carnes Premium,False,,2020-07-30,2.2,82.84,alto
PRD018,Lechuga Orgánica,verduras,2020-08-16,65,0.95,54,6.42,16,Verduras Orgánicas S.A.,False,,2020-07-31,5.72,97.1,bajo
