producto_id,nombre_producto,categoria,fecha_caducidad,stock_actual,precio_unitario,sales_ultimos_7d,ventas_promedio_diaria,dias_hasta_caducidad,proveedor,en_promocion,precio_promocion,fecha_ultima_venta,temperatura_almacen,humedad_almacen,categoria_riesgo
P1001,Manzanas Fuji,frutas,2025-08-31,120,2.5,70,10.0,29,FruViva Ltda,False,,2025-07-31,4.0,85.0,bajo
P1002,Leche Entera 1L,lacteos,2025-09-01,85,1.2,45,6.5,30,DairyBest,True,0.99,2025-07-30,4.0,80.0,bajo
P1003,Bananas orgánicas,frutas,2025-08-21,150,1.8,90,13.0,19,Tropico Verde,False,,2025-07-29,12.0,75.0,bajo
P1004,Pechuga de Pollo,carnes,2025-08-10,60,5.5,30,4.3,8,CarnesPremium,True,4.99,2025-07-31,2.0,90.0,alto
P1005,Yogures Naturales,lacteos,2025-08-25,100,0.9,55,8.0,23,DairyBest,False,,2025-07-30,4.0,85.0,bajo
P1006,Agua Mineral 500ml,bebidas,2025-08-15,200,0.5,150,21.4,13,AguaPura,False,,2025-07-31,10.0,60.0,bajo
P1007,Pan Integral 500g,panaderia,2025-08-08,80,2.0,65,9.3,6,PanExpress,True,1.8,2025-07-31,22.0,70.0,medio
P1008,Naranjas Valencia,frutas,2025-08-28,140,1.5,80,11.4,26,CitrusFarm,False,,2025-07-29,8.0,82.0,bajo
P1009,Carne de Res Molida,carnes,2025-08-05,55,7.0,25,3.6,3,ResSelecto,False,,2025-07-30,2.0,85.0,alto
P1010,Pan Francés,panaderia,2025-08-07,90,2.5,55,7.8,5,PanExpress,False,,2025-07-30,22.0,65.0,medio
P1011,Coca Cola 2L,bebidas,2025-09-10,300,1.3,170,24.3,39,BebidasGlobal,False,,2025-07-31,4.0,75.0,bajo
P1012,Fresas Nacionales,frutas,2025-08-25,130,3.0,95,13.6,23,FresaSupreme,False,,2025-07-29,5.0,88.0,bajo
P1013,Queso Gouda 200g,lacteos,2025-08-20,75,2.8,40,5.7,18,DairyBest,False,,2025-07-31,4.0,83.0,bajo
P1014,Jugo de Naranja 1L,bebidas,2025-09-05,160,2.2,100,14.3,34,JugoExpress,False,,2025-07-30,4.0,80.0,bajo
P1015,Pan de Hamburguesa,panaderia,2025-08-06,100,1.9,75,10.7,4,PanExpress,True,1.7,2025-07-31,22.0,72.0,medio
P1016,Cerveza Artesanal 330ml,bebidas,2025-09-15,210,2.8,160,22.9,43,CervezaCraft,False,,2025-07-31,8.0,65.0,bajo
P1017,Pepino Italiano,verduras,2025-08-10,95,0.8,50,7.1,8,VerduraSelecta,False,,2025-07-30,7.0,85.0,bajo
P1018,Corte de Lomo de Cerdo,carnes,2025-08-04,40,9.5,15,2.1,2,ResSelecto,False,,2025-07-29,2.0,80.0,alto
P1019,Bebida Energizante 250ml,bebidas,2025-08-09,180,2.0,140,20.0,7,Energize,False,,2025-07-31,4.0,78.0,bajo
PRD001,Manzanas Golden,frutas,2025-08-15,120,1.2,85,12.1,13,Frutas del Valle,False,,2025-08-01,4.0,85.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-10,200,0.99,150,21.4,8,Lácteos La Huerta,True,0.89,2025-07-31,4.0,75.0,bajo
PRD003,Zanahorias Orgánicas,verduras,2025-08-20,80,0.45,60,8.6,18,Verduras Orgánicas S.A.,False,,2025-08-01,6.0,90.0,bajo
PRD004,Pollo Orgánico 500g,carnes,2025-08-05,50,5.75,45,6.4,3,Carnes Naturales,True,5.25,2025-07-30,2.0,80.0,alto
PRD005,Pan Integral  loaf,panaderia,2025-08-03,150,2.0,130,18.6,1,Panaderia Buen Pan,False,,2025-07-31,20.0,65.0,bajo
PRD006,Agua Mineral 1.5L,bebidas,2025-09-01,300,0.65,190,27.1,30,Bebidas del Valle,False,,2025-07-30,10.0,60.0,bajo
PRD007,Yogur Natural 150g,lacteos,2025-08-07,180,0.5,170,24.3,5,Yogurt Plus,False,,2025-08-01,4.0,85.0,bajo
PRD008,Jamon Cocido 200g,carnes,2025-08-09,70,3.99,40,5.7,7,Embuthidos Gourmet,False,,2025-07-31,2.0,78.0,alto
PRD009,Baguette Tradicional,panaderia,2025-08-02,100,1.5,90,12.9,0,Panadería La Esquina,True,1.2,2025-08-01,20.0,70.0,bajo
PRD010,Refresco Cola 330ml,bebidas,2025-08-25,250,1.0,200,28.6,23,Bebidas y Más,False,,2025-07-29,12.0,55.0,bajo
PRD011,Naranja Sanguina 1kg,frutas,2025-08-18,90,1.8,70,10.0,16,Frutas del Sol,False,,2025-08-01,4.0,80.0,bajo
PRD012,Cerveza Artesanal 330ml,bebidas,2025-09-15,100,2.5,60,8.6,43,Cervezas del Mundo,False,,2025-07-28,12.0,55.0,bajo
PRD013,Queso Gouda 200g,lacteos,2025-08-12,130,3.5,110,15.7,10,Quesos Finos,False,,2025-08-01,4.0,80.0,medio
PRD014,Manzana Verde,frutas,2025-08-19,100,1.3,75,10.7,17,Frutas Frescas,False,,2025-07-31,4.0,85.0,bajo
PRD015,Coca-Cola 500ml,bebidas,2025-08-23,180,1.2,160,22.9,21,Bebidas Global,False,,2025-07-29,12.0,55.0,bajo
PRD016,Yogur de Frutas 150g,lacteos,2025-08-14,160,0.6,140,20.0,12,Yogurt Plus,False,,2025-07-30,4.0,85.0,bajo
PRD017,Filete de Ternera 250g,carnes,2025-08-06,60,8.99,25,3.6,4,Carnes Premium,False,,2025-07-30,2.0,85.0,alto
PRD018,Lechuga Orgánica,verduras,2025-08-16,70,0.9,50,7.1,14,Verduras Orgánicas S.A.,False,,2025-07-31,6.0,90.0,bajo
PRD019,Refresco Naranja 330ml,bebidas,2025-08-24,220,1.0,210,30.0,22,Bebidas del Sol,False,,2025-07-28,12.0,55.0,bajo
PRD1001,Manzanas Gala,frutas,2025-08-15,120,1.2,50,7.1,13,Frutas del Valle,False,,2025-07-30,4.0,75.0,bajo
PRD1002,Leche Entera 1L,lacteos,2025-08-10,80,0.99,30,4.3,8,Lacteos La Central,True,0.89,2025-07-31,3.0,80.0,bajo
PRD1003,Tomates Rojos,verduras,2025-08-12,150,0.75,65,9.3,10,Verduras Frescas,False,,2025-07-29,6.0,70.0,medio
PRD1004,Filetes de Pollo,carnes,2025-08-09,45,5.5,22,3.1,7,Carne Rica,False,,2025-07-31,2.0,60.0,alto
PRD1005,Pan Integral 500g,panaderia,2025-08-05,200,2.0,90,12.9,3,Panaderia La Dulce,True,1.8,2025-07-31,22.0,65.0,bajo
PRD1006,Agua Mineral 1.5L,bebidas,2025-08-20,300,0.5,150,21.4,18,Bebidas Refrescantes,False,,2025-07-30,5.0,50.0,bajo
PRD1007,Yogurt Natural 150g,lacteos,2025-08-14,100,0.85,40,5.7,12,Lacteos La Central,False,,2025-07-30,4.0,78.0,bajo
PRD1008,Jamon Serrano 100g,carnes,2025-08-16,60,3.5,18,2.6,14,Delicias Ibéricas,False,,2025-07-29,0.0,55.0,alto
PRD1009,Refresco Cola 330ml,bebidas,2025-08-18,250,1.1,120,17.1,16,Bebidas Refrescantes,True,1.0,2025-07-31,4.0,65.0,bajo
PRD1010,Jamon Cocido 200g,carnes,2025-08-13,70,4.0,25,3.6,11,Delicias Ibéricas,False,,2025-07-28,0.0,52.0,alto
PRD1011,Pan de Molde 450g,panaderia,2025-08-07,180,2.5,85,12.1,5,Panaderia La Dulce,True,2.2,2025-07-30,22.0,60.0,bajo
